name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,additional_lanes_on_left_side,length_of_left_side_lanes,additional_lanes_on_right_side,length_of_right_side_lanes
East 5th Street,550543844,,,,41746539,41746542,,2,0.15835,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8970292,33.4256938,0.0 -111.8957721,33.4256954,0.0 -111.8953229,33.425696,0.0</coordinates></LineString>",,,,,,,
South River Drive,532207286,,,,41746542,41736812,,2,0.40008,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8953229,33.425696,0.0 -111.8953298,33.429294,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543844,,,,41746542,41746544,,2,0.162499,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8953229,33.425696,0.0 -111.8944987,33.425696,0.0 -111.8940957,33.425696,0.0 -111.8938687,33.425696,0.0 -111.8936985,33.425696,0.0 -111.8935719,33.425696,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543844,,,,41746542,41746539,,2,0.15835,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8953229,33.425696,0.0 -111.8957721,33.4256954,0.0 -111.8970292,33.4256938,0.0</coordinates></LineString>",,,,,,,
"['South Maple Avenue', 'East la Vieve Lane']","[5591432, 5640859]",,,,41533550,41956736,,2,0.154527,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9387421,33.33164,0.0 -111.938785,33.3311882,0.0 -111.9381241,33.3311093,0.0 -111.937695,33.3309874,0.0</coordinates></LineString>",,,,,,,
"['South Maple Avenue', 'East Sarah Lane']","[5591432, 390014441]",,,,41533550,42669900,,2,0.223434,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9387421,33.33164,0.0 -111.9387507,33.3322782,0.0 -111.9379208,33.332299,0.0 -111.9378542,33.3322966,0.0 -111.9377617,33.3322843,0.0 -111.9376356,33.332254,0.0 -111.937421,33.3321823,0.0 -111.937299,33.332151,0.0 -111.9371443,33.3321151,0.0</coordinates></LineString>",,,,,,,
East Greentree Drive,5605627,,,,41533550,41650329,,2,0.09807500000000001,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9387421,33.33164,0.0 -111.9378591,33.3315478,0.0 -111.9377015,33.3315908,0.0</coordinates></LineString>",,,,,,,
South Siesta Lane,532207284,,,,41746544,41736816,,2,0.400023,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8935719,33.425696,0.0 -111.8936011,33.4280745,0.0 -111.893616,33.4292933,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543844,,,,41746544,41746542,,2,0.162499,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8935719,33.425696,0.0 -111.8936985,33.425696,0.0 -111.8938687,33.425696,0.0 -111.8940957,33.425696,0.0 -111.8944987,33.425696,0.0 -111.8953229,33.425696,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543845,,,,41746544,41746546,,2,0.15614699999999998,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8935719,33.425696,0.0 -111.893172,33.4256892,0.0 -111.8925623,33.4256788,0.0 -111.8918897,33.4256674,0.0</coordinates></LineString>",,,,,,,
South Price Road,605752407,,,,41746546,41529713,,1,0.168902,2,-1,,,,,,,,,"<LineString><coordinates>-111.8918897,33.4256674,0.0 -111.891924,33.4241487,0.0</coordinates></LineString>",,,,,,,
East 5th Street,550543845,,,,41746546,41746544,,2,0.15614699999999998,-1,-1,,,,,,,,,"<LineString><coordinates>-111.8918897,33.4256674,0.0 -111.8925623,33.4256788,0.0 -111.893172,33.4256892,0.0 -111.8935719,33.425696,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591433,,,,41533555,41533490,,2,0.029403,-1,-1,,,,,,,,,"<LineString><coordinates>-111.938391,33.3368595,0.0 -111.9386313,33.3370316,0.0</coordinates></LineString>",,,,,,,
East 5th Street,23605858,,,,41746551,2819398147,,2,0.6770510000000001,-1,-1,,,,,,,,,"<LineString><coordinates>-111.890235,33.4257007,0.0 -111.8884367,33.4257124,0.0 -111.8866933,33.4257238,0.0 -111.8866324,33.4257242,0.0 -111.885571,33.4257311,0.0 -111.8850936,33.4257311,0.0 -111.8835738,33.4257409,0.0 -111.8829397,33.4257461,0.0</coordinates></LineString>",,,,,,,
South Price Road,"[605752406, 436928535]",,,,41746551,41736822,,1,0.390983,4,-1,,,,,,,,,"<LineString><coordinates>-111.890235,33.4257007,0.0 -111.8902047,33.4273407,0.0 -111.8902326,33.4283532,0.0 -111.8902547,33.4291555,0.0 -111.8902564,33.4292162,0.0</coordinates></LineString>",,,,,,,
West Guadalupe Road,80396690,,,,41533561,4321248019,,2,0.11154,5,72.45,,,,,,,,,"<LineString><coordinates>-111.9390262,33.3637033,0.0 -111.9402272,33.363696,0.0</coordinates></LineString>",,,,,,,
"['South Maple Avenue', 'West Vaughn Street']","[5591437, 5619093]",,,,41533561,41563692,,2,0.344196,2,40.25,,,,,,,,,"<LineString><coordinates>-111.9390262,33.3637033,0.0 -111.9390192,33.3635885,0.0 -111.9390179,33.3635674,0.0 -111.9390297,33.3632651,0.0 -111.9390867,33.3628586,0.0 -111.9391223,33.3627198,0.0 -111.939137,33.3626334,0.0 -111.9392074,33.3619155,0.0 -111.9392315,33.3616707,0.0 -111.939267,33.3616237,0.0 -111.9393374,33.3616029,0.0 -111.9404563,33.3616011,0.0</coordinates></LineString>",,,,,,,
