highway,osmid,ref,x,y,geometry
,5612831374,,116.1995781,39.971925,POINT (116.1995781 39.971925)
,5612831375,,116.1995782,39.9717784,POINT (116.1995782 39.9717784)
,237535900,,116.3108795,39.9384932,POINT (116.3108795 39.9384932)
,298582684,,116.2808666,40.0406497,POINT (116.2808666 40.0406497)
,5612831392,,116.1944346,39.9749833,POINT (116.1944346 39.9749833)
,5612831393,,116.1952978,39.9724573,POINT (116.1952978 39.9724573)
,5612831394,,116.1954957,39.9717981,POINT (116.1954957 39.9717981)
,1423966922,,116.2795825,40.0057208,POINT (116.2795825 40.0057208)
,1423966924,,116.2805158,40.0057748,POINT (116.2805158 40.0057748)
,1423966925,,116.2820752,40.0058617,POINT (116.2820752 40.0058617)
,237535958,,116.3138335,39.9379934,POINT (116.3138335 39.9379934)
,1423966941,,116.2819789,40.0076255,POINT (116.2819789 40.0076255)
,1423966943,,116.2802764,40.0077777,POINT (116.2802764 40.0077777)
traffic_signals,639599328,,116.096053,40.1047684,POINT (116.096053 40.1047684)
traffic_signals,1423966945,,116.2817964,40.0078906,POINT (116.2817964 40.0078906)
,1423966947,,116.278024,40.0093425,POINT (116.278024 40.0093425)
,1423966956,,116.2814414,40.0099694,POINT (116.2814414 40.0099694)
,707592946,,116.2961103,39.9064648,POINT (116.2961103 39.9064648)
,1423966963,,116.2810797,40.0146089,POINT (116.2810797 40.0146089)
,1423966965,,116.2786435,40.0171516,POINT (116.2786435 40.0171516)
,5063672569,,116.3702418,39.9791178,POINT (116.3702418 39.9791178)
,1423966972,,116.2785312,40.0176674,POINT (116.2785312 40.0176674)
traffic_signals,707592957,,116.2888828,39.9065015,POINT (116.2888828 39.9065015)
,5063672572,,116.3696005,39.9806352,POINT (116.3696005 39.9806352)
,5063672573,,116.3687518,39.9790823,POINT (116.3687518 39.9790823)
,5063672582,,116.3687372,39.9806144,POINT (116.3687372 39.9806144)
,5063672583,,116.3698725,39.979109,POINT (116.3698725 39.979109)
,4805968648,,116.308096,40.0419068,POINT (116.308096 40.0419068)
,5063672587,,116.3699788,39.9776723,POINT (116.3699788 39.9776723)
,1985610515,,116.3273331,39.9814125,POINT (116.3273331 39.9814125)
,754516763,,116.3224315,39.9120878,POINT (116.3224315 39.9120878)
traffic_signals,1423967004,,116.2760729,40.0200016,POINT (116.2760729 40.0200016)
traffic_signals,1423967005,,116.2766961,40.019987,POINT (116.2766961 40.019987)
traffic_signals,1423967007,,116.2766354,40.0200791,POINT (116.2766354 40.0200791)
,754516786,,116.3259735,39.899177,POINT (116.3259735 39.899177)
,5572805430,,116.2766412,39.9721537,POINT (116.2766412 39.9721537)
,5572805433,,116.2775696,39.9712079,POINT (116.2775696 39.9712079)
,2420949822,,116.3012528,39.9744653,POINT (116.3012528 39.9744653)
motorway_junction,1423967042,,116.2730972,40.0238874,POINT (116.2730972 40.0238874)
,2420949827,,116.3028483,39.9755959,POINT (116.3028483 39.9755959)
,1423967045,,116.2728208,40.02442,POINT (116.2728208 40.02442)
,1423967046,,116.2712377,40.026248,POINT (116.2712377 40.026248)
,1423967048,,116.2713515,40.0259144,POINT (116.2713515 40.0259144)
traffic_signals,286278473,,116.3174012,40.0346688,POINT (116.3174012 40.0346688)
motorway_junction,1410728778,34,116.3043727,39.8942801,POINT (116.3043727 39.8942801)
,1410728779,,116.3041971,39.8942798,POINT (116.3041971 39.8942798)
traffic_signals,1423967050,,116.2664946,40.0310304,POINT (116.2664946 40.0310304)
,754516813,,116.3195523,39.8983876,POINT (116.3195523 39.8983876)
traffic_signals,1423967052,,116.26702,40.031106,POINT (116.26702 40.031106)
,4580033597,,116.2278686,39.9231799,POINT (116.2278686 39.9231799)
,1747714907,,116.3655934,39.9484147,POINT (116.3655934 39.9484147)
