name,node_id,zone_id,micro_node_set,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,41520539,,,,,,-111.9442403,33.4160678,"<Point><coordinates>-111.9442403,33.4160678</coordinates></Point>"
,41913756,,,,,,-111.9583523,33.3725121,"<Point><coordinates>-111.9583523,33.3725121</coordinates></Point>"
,41520542,,,,,,-111.9442483,33.4146347,"<Point><coordinates>-111.9442483,33.4146347</coordinates></Point>"
,316870046,,,,,,-111.9383,33.4149256,"<Point><coordinates>-111.9383,33.4149256</coordinates></Point>"
,5893705124,,,,,,-111.9754182,33.3927625,"<Point><coordinates>-111.9754182,33.3927625</coordinates></Point>"
,41520549,,,,,,-111.9449089,33.3872721,"<Point><coordinates>-111.9449089,33.3872721</coordinates></Point>"
,5893705127,,,,,,-111.9753874,33.3923216,"<Point><coordinates>-111.9753874,33.3923216</coordinates></Point>"
,41520556,,,,,,-111.9456814,33.3872219,"<Point><coordinates>-111.9456814,33.3872219</coordinates></Point>"
,41586093,,,,,,-111.9108076,33.418129,"<Point><coordinates>-111.9108076,33.418129</coordinates></Point>"
,41586094,,,,,,-111.910665,33.4174037,"<Point><coordinates>-111.910665,33.4174037</coordinates></Point>"
,41520559,,,,,,-111.9455526,33.3864264,"<Point><coordinates>-111.9455526,33.3864264</coordinates></Point>"
,41782703,,,,,,-111.9721524,33.4250742,"<Point><coordinates>-111.9721524,33.4250742</coordinates></Point>"
,41520562,,,,,,-111.9476046,33.3309847,"<Point><coordinates>-111.9476046,33.3309847</coordinates></Point>"
,41913779,,,,,,-111.9559651,33.3710277,"<Point><coordinates>-111.9559651,33.3710277</coordinates></Point>"
,41602484,,,,,,-111.9175076,33.3758672,"<Point><coordinates>-111.9175076,33.3758672</coordinates></Point>"
,41520565,,,,,,-111.9476303,33.3281664,"<Point><coordinates>-111.9476303,33.3281664</coordinates></Point>"
,42241463,,,,,,-111.9558298,33.3631237,"<Point><coordinates>-111.9558298,33.3631237</coordinates></Point>"
,41913784,,,,,,-111.9545543,33.3709036,"<Point><coordinates>-111.9545543,33.3709036</coordinates></Point>"
,3845983677,,,,,,-111.9406289,33.3452543,"<Point><coordinates>-111.9406289,33.3452543</coordinates></Point>"
,41913790,,,,,,-111.9527439,33.3714643,"<Point><coordinates>-111.9527439,33.3714643</coordinates></Point>"
,41520578,,,,,,-111.9442875,33.4146337,"<Point><coordinates>-111.9442875,33.4146337</coordinates></Point>"
,41520581,,,,,,-111.9443138,33.4139026,"<Point><coordinates>-111.9443138,33.4139026</coordinates></Point>"
,41209285,,,,,,-111.89507,33.4311559,"<Point><coordinates>-111.89507,33.4311559</coordinates></Point>"
,41520584,,,,,,-111.9443094,33.4131817,"<Point><coordinates>-111.9443094,33.4131817</coordinates></Point>"
,41520587,,,,,,-111.9443024,33.4110208,"<Point><coordinates>-111.9443024,33.4110208</coordinates></Point>"
,41651660,,,,,,-111.9281849,33.3758672,"<Point><coordinates>-111.9281849,33.3758672</coordinates></Point>"
,41651662,,,,,,-111.9284253,33.3745268,"<Point><coordinates>-111.9284253,33.3745268</coordinates></Point>"
,41520590,,,,,,-111.9442963,33.410264,"<Point><coordinates>-111.9442963,33.410264</coordinates></Point>"
,41651664,,,,,,-111.9284264,33.3738668,"<Point><coordinates>-111.9284264,33.3738668</coordinates></Point>"
,41520593,,,,,,-111.9442959,33.4095166,"<Point><coordinates>-111.9442959,33.4095166</coordinates></Point>"
,41520594,,,,,,-111.9442945,33.4087687,"<Point><coordinates>-111.9442945,33.4087687</coordinates></Point>"
,41651666,,,,,,-111.9283394,33.3725414,"<Point><coordinates>-111.9283394,33.3725414</coordinates></Point>"
,41651668,,,,,,-111.9281678,33.372097,"<Point><coordinates>-111.9281678,33.372097</coordinates></Point>"
,41520604,,,,,,-111.9439514,33.4073729,"<Point><coordinates>-111.9439514,33.4073729</coordinates></Point>"
,4716137948,,,,,,-111.9313904,33.4174105,"<Point><coordinates>-111.9313904,33.4174105</coordinates></Point>"
,4716137952,,,,,,-111.9313989,33.4183647,"<Point><coordinates>-111.9313989,33.4183647</coordinates></Point>"
,41520610,,,,,,-111.9465515,33.3604211,"<Point><coordinates>-111.9465515,33.3604211</coordinates></Point>"
,41520611,,,,,,-111.94656,33.3610663,"<Point><coordinates>-111.94656,33.3610663</coordinates></Point>"
,41520615,,,,,,-111.94656,33.3614606,"<Point><coordinates>-111.94656,33.3614606</coordinates></Point>"
,3846000110,,,,,,-111.9401695,33.3470149,"<Point><coordinates>-111.9401695,33.3470149</coordinates></Point>"
,41520624,,,,,,-111.9476824,33.3739379,"<Point><coordinates>-111.9476824,33.3739379</coordinates></Point>"
,41520626,,,,,,-111.9478455,33.3745686,"<Point><coordinates>-111.9478455,33.3745686</coordinates></Point>"
,3846000119,,,,,,-111.9412704,33.347555,"<Point><coordinates>-111.9412704,33.347555</coordinates></Point>"
